tree_idx,n_tips,true_R0,true_d,true_lambda,mle_R0,mle_d,mle_lambda
1177,151,1.54839,3.22581,4.9948119458999996,2.0,3.1640156524985836,6.328031304997167
1178,226,1.47115,3.20513,4.7152269995,2.0,4.467133264665982,8.934266529331964
1179,449,3.00897,4.4843,13.493124171000002,2.0,5.0,10.0
118,226,2.47664,3.11526,7.715377526400001,2.0,5.0,10.0
1180,439,1.55917,2.95858,4.6129291786,2.0,5.0,10.0
1181,302,1.47989,2.68097,3.9675406932999997,2.0,5.0,10.0
1182,334,1.14505,2.1978,2.51659089,2.0,3.8064092441935222,7.6128184883870444
1183,127,1.66047,4.65116,7.7231116451999995,2.0,3.0002972273978807,6.0005944547957615
1184,319,1.11358,2.46914,2.7495849212,2.0,3.908551936264098,7.817103872528196
1185,382,1.26677,1.59744,2.0235890688,2.0,5.275325963718088,10.550651927436176
1186,222,3.78155,4.85437,18.357042873500003,2.0,5.0,10.0
1187,231,1.17433,1.58479,1.8610664407000002,2.0,5.003922534408217,10.007845068816435
1188,264,1.3835,4.85437,6.716020895,2.0,2.490358849277171,4.980717698554342
1189,284,1.12621,1.61812,1.8223429251999999,2.0,5.128951893535309,10.257903787070617
119,462,2.14851,4.9505,10.636198754999999,2.0,5.0,10.0
1190,342,1.48565,2.39234,3.554179921,2.0,5.0,10.0
1191,487,1.45035,2.30947,3.3495398145000004,2.0,5.0,10.0
1192,208,1.2407,1.95695,2.427987865,2.0,4.6123819390492775,9.224763878098555
1193,304,1.23381,3.59712,4.4381626272000005,2.0,2.569991564509925,5.13998312901985
1194,372,1.94802,2.47525,4.821836505,2.0,5.0,10.0
1195,233,1.35153,2.18341,2.9509441172999997,2.0,5.0,10.0
1196,204,1.21821,1.71821,2.0931406041000002,2.0,5.305584744858017,10.611169489716033
1197,395,2.1813,2.83286,6.1793175179999995,2.0,5.0,10.0
1198,434,1.83117,4.329,7.927134929999999,2.0,5.0,10.0
1199,245,1.46304,1.94553,2.8463882112,2.0,5.0,10.0
12,134,2.8785,4.6729,13.45094265,2.0,3.9363751117783656,7.872750223556731
120,179,1.9446,2.77008,5.386697568000001,2.0,5.0,10.0
1200,362,1.20905,1.56006,1.8861905429999999,2.0,5.0,10.0
1201,297,2.13871,3.22581,6.8990721051,2.0,5.0,10.0
1202,444,2.54392,3.37838,8.594328449599999,2.0,5.0,10.0
1203,380,1.32458,1.87617,2.4851372586,2.0,5.0,10.0
1204,246,1.07194,2.39808,2.5705978752,2.0,2.9695322514475913,5.9390645028951825
1205,136,1.34975,2.46305,3.3245017375,1.155741373387586,0.5303124513113884,0.6129040408031614
1206,192,1.8659,3.83142,7.149046578,2.0,5.0,10.0
1207,377,1.80608,3.80228,6.8672218624,2.0,5.0,10.0
1208,386,2.17538,3.07692,6.6934702296,2.0,5.0,10.0
1209,434,1.10375,2.88184,3.1808309,2.0,2.902465569732906,5.804931139465812
121,239,2.11111,3.96825,8.3774122575,2.0,5.0,10.0
1210,400,3.25207,4.13223,13.4383012161,2.0,5.0,10.0
1211,254,1.08739,1.68067,1.8275437513000004,2.0,4.524566110320082,9.049132220640164
1212,168,2.46789,4.58716,11.3206062924,2.0,5.0,10.0
1213,147,1.19662,2.11416,2.5298461392,1.1456857129655633,0.6151873908293315,0.7048114044697273
1214,323,1.4807,3.50877,5.195435739,2.0,4.432792497881593,8.865584995763186
1215,430,1.34043,3.5461,4.753298823,2.0,4.308951812919727,8.617903625839453
1216,402,1.26437,1.64204,2.0761461147999998,2.0,5.008998798561692,10.017997597123385
1217,117,1.24561,1.75439,2.1852857279,1.177237312466627,0.6108011801647472,0.7190579397885911
1218,356,2.66957,4.34783,11.606836533100001,2.0,5.0,10.0
1219,102,1.06175,1.99203,2.1150378525,1.1787143863141172,0.3515950908606572,0.41443019175487583
122,319,1.21317,1.7331,2.1025449270000003,2.0,5.0,10.0
1220,158,2.96209,4.73934,14.0383516206,2.0,4.551157370841324,9.102314741682648
1221,112,3.44395,4.4843,15.443704985,2.0,4.7174633687284615,9.434926737456923
1222,255,1.64431,2.91545,4.793903589499999,2.0,5.0,10.0
1223,377,1.42679,1.78571,2.5478331708999997,2.0,5.057256791385379,10.114513582770758
1224,386,1.41136,2.27273,3.2076402128,2.0,5.0,10.0
1225,242,1.23243,2.7027,3.330888561,2.0,2.6676560123592363,5.335312024718473
1226,281,1.16608,1.74825,2.03859936,2.0,5.0,10.0
1227,279,1.0258,1.51745,1.55660021,1.084130316809078,0.6926720024457486,0.7509467174562877
1228,177,1.06342,1.47493,1.5684700606000002,1.1242417318921551,0.7761304457260797,0.8725582364773182
1229,385,2.18437,3.125,6.8261562499999995,2.0,5.0,10.0
123,456,1.43825,3.98406,5.730074295,2.0,5.0,10.0
1230,247,1.53125,3.47222,5.316836875,2.0,4.5683179004611665,9.136635800922333
1231,334,2.66667,3.74532,9.987532484399999,2.0,5.0,10.0
1232,462,2.00836,2.78552,5.594326947200001,2.0,5.0,10.0
1233,114,2.68217,3.87597,10.3960104549,2.0,4.669713212143707,9.339426424287414
1234,228,1.97872,3.5461,7.0167389920000005,2.0,4.858417820437905,9.71683564087581
1235,185,2.07469,4.14938,8.6086771922,2.0,4.0576284838957175,8.115256967791435
1236,384,1.00244,2.43902,2.4449712088,1.0639684289613276,0.4006449416710594,0.4262735691610598
1237,128,1.11739,4.34783,4.8582217637000005,1.1640641356100467,0.38617149726499184,0.44952839016101026
1238,158,2.16418,3.73134,8.0752914012,2.0,5.0,10.0
1239,233,1.08211,2.93255,3.1733416804999997,1.098173605185608,0.48901799119709316,0.5370266503935357
124,365,1.60165,2.74725,4.400132962500001,2.0,5.0,10.0
1240,351,1.23855,1.57978,1.956636519,2.0,5.045012942182985,10.09002588436597
1241,207,1.46241,3.7594,5.497784154,2.0,4.467873271602148,8.935746543204296
1242,439,1.0026,1.30039,1.3037710139999998,1.0570202201465395,0.5724390954301782,0.6050796986720929
1243,109,2.15354,3.93701,8.4785085154,2.0,3.283024229875405,6.56604845975081
1244,253,1.84186,4.65116,8.5667855576,2.0,4.863222594961215,9.72644518992243
1245,230,1.32134,2.57069,3.3967555245999996,2.0,5.0,10.0
1246,122,1.13636,1.89394,2.1521976584,1.170973835994827,0.5262159324616368,0.6161850889961976
1247,316,1.05833,2.77778,2.9398079074,2.0,3.597937186930221,7.195874373860442
1248,172,1.57928,2.11416,3.3388506048,2.0,5.0,10.0
1249,115,2.27897,4.29185,9.780997394500002,2.0,4.226601095299785,8.45320219059957
125,376,1.09357,2.92398,3.1975768085999996,2.0,5.0,10.0
1250,454,1.68524,2.78552,4.6942697248,2.0,5.0,10.0
1251,499,1.87774,3.1348,5.886339351999999,2.0,5.0,10.0
1252,496,2.40823,3.16456,7.6209883288,2.0,5.0,10.0
1253,298,1.09063,3.02115,3.2949568245,1.0795112063685732,0.5305137859148255,0.5726955770280722
1254,482,1.98433,3.1348,6.220477684,2.0,5.0,10.0
1255,470,2.21019,3.18471,7.0388141949,2.0,5.0,10.0
1256,422,1.02857,1.78571,1.8367277347,2.0,4.3255599413820045,8.651119882764009
1257,401,1.2608,1.6,2.01728,2.0,5.50591785364273,11.01183570728546
1258,269,1.45596,2.59067,3.7719118931999995,2.0,5.0,10.0
1259,211,1.58559,3.003,4.761526770000001,2.0,4.877609000691186,9.755218001382373
126,335,1.02131,1.7762,1.8140508219999998,2.0,4.495045784617579,8.990091569235158
1260,301,1.78161,3.83142,6.8260961862,2.0,5.0,10.0
1261,397,1.1016,2.6738,2.94545808,2.0,3.1062779755737,6.2125559511474
1262,349,1.94318,3.78788,7.3605326583999995,2.0,5.0,10.0
1263,118,1.35326,1.81159,2.4515522834,2.0,4.604043840954007,9.208087681908014
1264,195,1.00132,1.31926,1.3210014232,1.0993254737423175,0.5027809588113982,0.552719915733957
1265,348,1.72508,3.02115,5.211725442,2.0,5.0,10.0
1266,472,1.22047,1.9685,2.4024951949999998,2.0,5.0,10.0
1267,423,1.49064,3.74532,5.5829238048,2.0,4.568999395699603,9.137998791399205
1268,315,2.54839,3.58423,9.134015889699999,2.0,5.0,10.0
1269,119,1.85215,2.68817,4.9788940655,2.0,3.2551831693484217,6.510366338696843
127,474,1.24613,1.72117,2.1448015721,2.0,5.0,10.0
1270,218,1.06772,2.25734,2.4102070648000002,1.1039322264761822,0.4174802785888789,0.46086993345251787
1271,437,1.88148,3.7037,6.968437476,2.0,5.0,10.0
1272,354,1.09957,2.1645,2.3800192649999996,2.0,3.2851719027725497,6.570343805545099
1273,305,2.45815,4.40529,10.8288636135,2.0,5.0,10.0
1274,143,2.04453,4.04858,8.2774432674,2.0,4.292820606365053,8.585641212730106
1275,188,2.46474,3.20513,7.8998121162,2.0,5.0,10.0
1276,227,1.68912,2.59067,4.375952510399999,2.0,4.696704998676233,9.393409997352466
1277,171,1.09801,1.66113,1.8239373513,1.1279683921808896,0.6505720810156097,0.7338247442209527
1278,157,1.79683,3.1746,5.704216518,2.0,4.229495166325491,8.458990332650982
1279,327,1.02786,1.39276,1.4315622936,1.0734253846764779,0.9136100190590366,0.9806921861527307
128,436,1.54678,2.92398,4.5227537844,2.0,5.0,10.0
1280,138,1.05882,1.78253,1.8873784146,1.1317356311837905,0.36943442710753505,0.4181021045435682
1281,146,1.10946,1.85529,2.0583700434,2.0,3.444830136959604,6.889660273919208
1282,203,1.69583,4.16667,7.0659639861,2.0,2.691794480626848,5.383588961253696
1283,357,1.38569,1.98807,2.7548487183000003,2.0,5.0,10.0
1284,208,1.63123,3.32226,5.4193701798,2.0,3.9819639088881336,7.963927817776267
1285,228,2.57915,3.861,9.95809815,2.0,5.0,10.0
1286,352,1.22492,1.61812,1.9820675504,2.0,5.126708757321314,10.253417514642628
1287,402,1.35885,2.39234,3.2508312089999998,2.0,4.9768787213914285,9.953757442782857
1288,377,1.51497,1.99601,3.0238952697,2.0,5.064706596813982,10.129413193627965
1289,349,1.07826,2.17391,2.3440401966,2.0,3.861148326754224,7.722296653508448
129,136,1.55889,2.30947,3.6002096883000005,1.1557413733875863,0.6637482655363185,0.7671213319945731
1290,361,1.8013,3.25733,5.867428529,2.0,5.0,10.0
1291,119,1.87988,3.003,5.64527964,2.0,3.300021620965185,6.60004324193037
1292,390,2.89076,4.20168,12.146048476799999,2.0,5.0,10.0
1293,137,1.97232,3.46021,6.824641387200001,2.0,3.9491999137171896,7.898399827434379
1294,451,3.12876,4.29185,13.428168606000002,2.0,5.0,10.0
1295,323,1.20722,1.56986,1.8951663892,2.0,4.79272687819399,9.58545375638798
1296,167,2.9061,4.69484,13.643674524,2.0,5.0,10.0
1297,145,1.99427,2.86533,5.714241659100001,2.0,3.800702624623164,7.601405249246328
1298,176,1.99565,4.34783,8.6767469395,2.0,3.2464031780339293,6.492806356067859
1299,132,2.78166,4.36681,12.1469807046,2.0,4.3876458518298636,8.775291703659727
13,356,2.70614,4.38596,11.8690217944,2.0,5.0,10.0
130,244,1.08604,1.41044,1.5317942575999997,2.0,4.826967574655406,9.653935149310811
1300,352,3.09565,4.34783,13.4593599395,2.0,5.0,10.0
1301,411,1.8155,3.69004,6.69926762,2.0,5.0,10.0
1302,203,1.59819,3.02115,4.8283717185,2.0,4.609015615980633,9.218031231961266
1303,420,1.02557,1.3459,1.3803146630000003,1.0592298710976218,0.9171686018051483,0.9714923798648533
1304,451,1.28389,2.55754,3.2836000305999997,2.0,5.0,10.0
